source_plot_id,lat,lon,year,species,trees_per_acre,trees_per_hectare
7349415010661,38.63899,-80.58315,1989,693.0,362.7279,896.320159
7349495010661,38.63899,-80.52759,1989,531.0,363.7444,898.831985
7349553010661,38.58343,-80.72204,1989,129.0,494.5827,1222.140465
7349582010661,38.55566,-80.66648,1989,491.0,629.142,1554.643736
7349648010661,39.1112,-80.69427,1989,400.0,985.1701,2434.408329
7349725010661,38.69454,-80.6387,1989,318.0,295.8093,730.960698
7349754010661,38.69454,-80.66648,1989,316.0,376.113,929.395462
7349818010661,38.69454,-80.72204,1989,391.0,318.6861,787.490502
7349869010661,38.7501,-80.69426,1989,318.0,130.9946,323.694705
7349939010661,38.72232,-80.63871,1989,Unknown,,
7349957010661,38.83343,-80.72204,1989,931.0,914.9559,2260.905263
7350013010661,38.86121,-80.61093,1989,471.0,1124.6588,2779.092413
7350061010661,38.80565,-80.63871,1989,316.0,914.2978,2259.279062
7350140010661,38.83343,-80.69426,1989,316.0,1187.7549,2935.006271
7350238010661,38.69454,-80.94427,1989,318.0,363.5016,898.232014
7350322010661,38.63899,-80.88871,1989,491.0,410.7588,1015.007098
7350406010661,38.58343,-80.88871,1989,802.0,184.5894,456.13034
7350488010661,38.58343,-80.94427,1989,400.0,162.1995,400.803692
7350542010661,38.55566,-80.7776,1989,972.0,826.2238,2041.643469
7350610010661,38.7501,-80.7776,1989,931.0,1579.1054,3902.054415
7350685010661,38.7501,-80.74982,1989,833.0,405.8694,1002.925127
7350751010661,38.7501,-80.86094,1989,802.0,235.0033,580.7058
7350826010661,38.72232,-80.86094,1989,316.0,780.7194,1929.199648
7350911010661,38.7501,-80.83316,1989,Unknown,,
7350926010661,38.705606,-80.736919,1989,Unknown,,
7368590010661,39.19455,-79.02753,1989,491.0,805.107,1989.46272
7368657010661,38.94455,-79.16643,1989,400.0,498.8754,1232.747958
7368736010661,39.30566,-79.13865,1989,318.0,777.2698,1920.675501
7368805010661,38.94455,-79.27754,1989,693.0,662.2936,1636.563124
7368864010661,39.2501,-79.16643,1989,372.0,330.5831,816.888629
7368904010661,39.02789,-79.1942,1989,316.0,883.5631,2183.331965
7368953010661,39.139,-79.1942,1989,Unknown,,
7368962010661,38.91678,-79.24976,1989,400.0,210.7676,520.818081
7369014010661,39.11122,-79.22198,1989,802.0,518.6412,1281.590313
7369048010661,39.22233,-79.27754,1989,970.0,143.1074,353.626086
